Final Data Overview,,,,,,,,,
Video #,Time (seconds),Converted Time, Observation,Comments,,,,,
000,75,0:01:15,3 T 2,,,Coding Info,,,
000,75,0:01:15,1 T 4,,,,,,
000,79,0:01:19,4 T 2,,,Group,20,"Video Range (First, Last)",
000,82,0:01:22,4 T 3,,,Day,1,0,63
000,100,0:01:40,1 T 4,,,Contest #,,Contest Date,
000,102,0:01:42,1 T 4,,,,,,
000,136,0:02:16,3 T 2,,,Fish Info,,,
000,145,0:02:25,4 T 1,,,,,,
000,146,0:02:26,4 T 1,,,Fish Number,Original Tank,Weight (g),Description (tail cut)
000,203,0:03:23,4 T 1,,,1,6_13,24.28,bottom cut
000,204,0:03:24,4 T 1,90 degrees turn,,2,6_2,24.54,top cut
000,205,0:03:25,4 T 2,backwards threat,,3,3_1,23.87,bottom V cut
000,210,0:03:30,4 T 1,,,4,3_16,24.16,top V cut
000,216,0:03:36,4 T 1,,,,,,
000,220,0:03:40,4 T 2,,,,,,
000,243,0:04:03,4 T 1,,,,,,
000,247,0:04:07,1 T 4,,,,,,
000,311,0:05:11,4 T 2,,,,,,
000,316,0:05:16,4 T 2,,,,,,
000,317,0:05:17,4 T 2,,,,,,
000,319,0:05:19,4 C 3,backwards chase,,,,,
000,322,0:05:22,4 T 2,,,,,,
000,323,0:05:23,4 T 2,,,,,,
000,324,0:05:24,4 T 3,,,,,,
000,328,0:05:28,4 T 1,,,,,,
000,338,0:05:38,4 C 2,backwards chase,,,,,
000,341,0:05:41,4 T 1,,,,,,
000,345,0:05:45,4 T 2,,,,,,
000,352,0:05:52,2 T 4,,,,,,
000,364,0:06:04,4 T 2,,,,,,
000,371,0:06:11,4 T 2,,,,,,
000,389,0:06:29,3 T 2,,,,,,
000,393,0:06:33,4 T 1,,,,,,
000,393,0:06:33,2 T 3,,,,,,
000,402,0:06:42,2 T 3,,,,,,
000,412,0:06:52,4 T 1,,,,,,
000,414,0:06:54,4 B 1,,,,,,
000,415,0:06:55,3 B 2,,,,,,
000,415,0:06:55,3 T 1,,,,,,
000,417,0:06:57,1 T 2,backwards threat,,,,,
000,419,0:06:59,1 C 2,,,,,,
000,427,0:07:07,1 T 3,,,,,,
000,430,0:07:10,1 C 3,,,,,,
000,432,0:07:12,1 T 4,,,,,,
000,436,0:07:16,1 C 2,,,,,,
000,442,0:07:22,2 T 3,,,,,,
000,443,0:07:23,3 T 1,,,,,,
000,444,0:07:24,4 T 2,,,,,,
000,447,0:07:27,4 T 3,,,,,,
000,452,0:07:32,1 T 3,,,,,,
000,454,0:07:34,4 T 1,,,,,,
000,455,0:07:35,3 T 2,,,,,,
000,458,0:07:38,3 T 4,,,,,,
000,460,0:07:40,4 T 1,,,,,,
000,463,0:07:43,2 T 3,,,,,,
000,466,0:07:46,2 T 3,,,,,,
000,476,0:07:56,4 T 3,,,,,,
000,477,0:07:57,4 T 2,,,,,,
000,483,0:08:03,2 T 4,,,,,,
000,492,0:08:12,4 T 3,,,,,,
000,493,0:08:13,3 T 1,,,,,,
