Final Data Overview,,,,,,,,,
Video #,Time (seconds),Converted Time, Observation,Comments,,,,,
0,55,0.000636574,1 T 3,,,Coding Info,,,
0,56,0.000648148,1 T 3,,,,,,
0,57,0.000659722,1 T 3,,,Group,6,"Video Range (First, Last)",
0,59,0.00068287,1 B 3,,,Day,2,0,31
0,60,0.000694444,1 T 4,,,Contest #,,Contest Date,
0,60,0.000694444,1 T 2,,,,,,
0,62,0.000717593,1 T 4,,,Fish Info,,,
0,62,0.000717593,1 T 2,,,,,,
0,64,0.000740741,1 C 4,,,Fish Number,Original Tank,Weight (g),Description (tail cut)
0,65,0.000752315,1 T 2,,,1,2_2,24.66,bottom cut
0,67,0.000775463,1 C 4,,,2,3_11,25.6,top cut
0,67,0.000775463,3 T 2,,,3,5_14,25.24,bottom V cut
0,68,0.000787037,1 T 4,,,4,6_13,24.66,top V cut
0,69,0.000798611,1 T 4,,,,,,
0,70,0.000810185,1 T 3,,,,,,
0,73,0.000844907,1 T 4,,,,,,
0,73,0.000844907,1 T 3,,,,,,
0,74,0.000856481,1 T 2,,,,,,
0,77,0.000891204,1 C 2,,,,,,
0,78,0.000902778,1 C 2,,,,,,
0,80,0.000925926,1 T 3,,,,,,
0,80,0.000925926,2 T 4,,,,,,
0,81,0.0009375,1 B 4,,,,,,
0,82,0.000949074,1 T 2,,,,,,
0,83,0.000960648,1 T 3,,,,,,
0,85,0.000983796,1 T 2,,,,,,
0,86,0.00099537,1 T 2,,,,,,
0,88,0.001018519,1 C 2,,,,,,
0,89,0.001030093,1 T 4,,,,,,
0,90,0.001041667,1 T 2,,,,,,
0,91,0.001053241,1 T 3,,,,,,
0,93,0.001076389,1 T 2,,,,,,
0,94,0.001087963,1 T 3,,,,,,
0,95,0.001099537,1 T 2,,,,,,
0,96,0.001111111,1 C 3,,,,,,
0,96,0.001111111,1 T 4,,,,,,
0,100,0.001157407,1 T 2,,,,,,
0,102,0.001180556,3 T 4,,,,,,
0,105,0.001215278,1 C 2,,,,,,
0,107,0.001238426,1 T 3,,,,,,
0,109,0.001261574,2 T 4,,,,,,
0,109,0.001261574,1 T 2,,,,,,
0,112,0.001296296,1 T 3,,,,,,
0,112,0.001296296,1 T 2,,,,,,
0,116,0.001342593,1 T 3,,,,,,
0,118,0.001365741,1 T 4,,,,,,
0,119,0.001377315,1 T 2,,,,,,
0,121,0.001400463,1 T 3,,,,,,
0,122,0.001412037,1 T 3,,,,,,
0,124,0.001435185,1 C 3,,,,,,
0,126,0.001458333,1 T 4,,,,,,
0,127,0.001469907,1 T 3,,,,,,
0,129,0.001493056,1 T 4,,,,,,
0,130,0.00150463,1 T 2,,,,,,
0,132,0.001527778,1 T 4,,,,,,
0,135,0.0015625,1 T 2,,,,,,
0,136,0.001574074,1 C 3,,,,,,
0,136,0.001574074,1 T 4,,,,,,
0,138,0.001597222,1 T 3,,,,,,
0,143,0.001655093,1 T 2,,,,,,
0,144,0.001666667,1 T 3,,,,,,
0,146,0.001689815,1 T 3,,,,,,
0,148,0.001712963,1 T 2,,,,,,
0,150,0.001736111,1 T 2,,,,,,
0,152,0.001759259,1 T 3,,,,,,
0,154,0.001782407,1 T 2,,,,,,
0,158,0.001828704,1 T 4,,,,,,
0,159,0.001840278,1 T 3,,,,,,
0,161,0.001863426,1 T 3,,,,,,
0,162,0.001875,1 T 2,,,,,,
0,163,0.001886574,1 T 3,,,,,,
0,164,0.001898148,1 T 2,,,,,,
0,165,0.001909722,1 C 4,,,,,,
0,166,0.001921296,1 T 3,,,,,,
0,168,0.001944444,1 T 2,,,,,,
0,171,0.001979167,1 T 2,,,,,,
0,172,0.001990741,1 T 4,,,,,,
0,173,0.002002315,1 T 3,,,,,,
0,177,0.002048611,1 T 4,,,,,,
0,179,0.002071759,1 C 2,,,,,,
0,181,0.002094907,1 T 2,,,,,,
0,183,0.002118056,1 C 3,,,,,,
0,184,0.00212963,1 T 2,,,,,,
0,186,0.002152778,1 T 2,,,,,,
0,187,0.002164352,1 T 3,,,,,,
0,189,0.0021875,1 T 3,,,,,,
0,191,0.002210648,1 T 2,,,,,,
0,193,0.002233796,1 T 3,,,,,,
0,195,0.002256944,1 T 2,,,,,,
0,198,0.002291667,1 T 2,,,,,,
0,201,0.002326389,1 T 3,,,,,,
0,203,0.002349537,1 T 3,,,,,,
0,204,0.002361111,1 T 4,,,,,,
0,205,0.002372685,1 T 2,,,,,,
0,207,0.002395833,1 T 4,,,,,,
0,208,0.002407407,1 T 2,,,,,,
0,211,0.00244213,3 T 4,,,,,,
0,212,0.002453704,3 T 4,,,,,,
0,213,0.002465278,1 T 2,,,,,,
0,214,0.002476852,3 T 4,,,,,,
0,216,0.0025,1 T 3,,,,,,
0,217,0.002511574,1 T 4,,,,,,
0,219,0.002534722,1 T 2,,,,,,
0,221,0.00255787,1 T 3,,,,,,
0,224,0.002592593,1 T 2,,,,,,
0,231,0.002673611,1 T 3,,,,,,
0,232,0.002685185,1 T 2,,,,,,
0,235,0.002719907,1 T 4,,,,,,
0,236,0.002731481,1 T 3,,,,,,
0,238,0.00275463,1 T 2,,,,,,
0,244,0.002824074,3 T 4,,,,,,
0,245,0.002835648,1 T 4,,,,,,
0,247,0.002858796,1 T 2,,,,,,
0,249,0.002881944,1 T 2,,,,,,
0,252,0.002916667,1 T 4,,,,,,
0,253,0.002928241,1 T 2,,,,,,
0,255,0.002951389,1 T 4,,,,,,
0,258,0.002986111,1 T 4,,,,,,
0,260,0.003009259,1 T 3,,,,,,
0,262,0.003032407,1 T 2,,,,,,
0,264,0.003055556,1 C 2,,,,,,
0,266,0.003078704,1 T 2,,,,,,
0,268,0.003101852,1 T 2,,,,,,
0,269,0.003113426,1 C 4,,,,,,
0,271,0.003136574,1 T 2,,,,,,
0,272,0.003148148,4 T 3,,,,,,
0,273,0.003159722,1 T 2,,,,,,
0,276,0.003194444,1 T 2,,,,,,
0,277,0.003206019,1 T 2,,,,,,
0,280,0.003240741,1 T 2,,,,,,
0,281,0.003252315,1 T 2,,,,,,
0,284,0.003287037,1 C 3,,,,,,
0,288,0.003333333,1 T 4,,,,,,
0,290,0.003356481,1 T 2,,,,,,
0,291,0.003368056,1 T 4,,,,,,
0,293,0.003391204,1 T 2,,,,,,
0,295,0.003414352,1 T 3,,,,,,
0,297,0.0034375,1 T 4,,,,,,
0,299,0.003460648,1 T 4,,,,,,
0,300,0.003472222,1 T 3,,,,,,
0,301,0.003483796,1 T 2,,,,,,
0,304,0.003518519,1 T 3,,,,,,
0,304,0.003518519,1 T 4,,,,,,
0,305,0.003530093,1 T 4,,,,,,
0,306,0.003541667,1 T 4,,,,,,
0,308,0.003564815,1 T 2,,,,,,
0,310,0.003587963,1 T 2,,,,,,
0,311,0.003599537,1 T 3,,,,,,
0,312,0.003611111,1 T 2,,,,,,
0,315,0.003645833,1 T 2,,,,,,
0,320,0.003703704,1 T 4,,,,,,
0,321,0.003715278,1 T 4,,,,,,
0,322,0.003726852,1 T 3,,,,,,
0,325,0.003761574,1 T 2,,,,,,
0,327,0.003784722,1 T 2,,,,,,
0,329,0.00380787,1 T 2,,,,,,
0,332,0.003842593,1 T 2,,,,,,
0,334,0.003865741,1 T 4,,,,,,
0,334,0.003865741,1 T 3,,,,,,
0,338,0.003912037,1 T 4,,,,,,
0,339,0.003923611,1 T 3,,,,,,
0,340,0.003935185,1 T 2,,,,,,
0,342,0.003958333,1 T 4,,,,,,
0,343,0.003969907,1 T 2,,,,,,
0,345,0.003993056,1 T 2,,,,,,
0,347,0.004016204,1 T 3,,,,,,
0,347,0.004016204,1 T 4,,,,,,
0,348,0.004027778,1 T 3,,,,,,
0,350,0.004050926,1 T 4,,,,,,
0,352,0.004074074,1 T 2,,,,,,
0,355,0.004108796,1 T 4,,,,,,
0,359,0.004155093,1 T 3,,,,,,
0,364,0.004212963,1 T 2,,,,,,
0,366,0.004236111,1 T 3,,,,,,
0,367,0.004247685,1 T 3,,,,,,
0,368,0.004259259,1 T 2,,,,,,
0,369,0.004270833,1 T 3,,,,,,
0,370,0.004282407,1 T 3,,,,,,
0,371,0.004293981,1 T 2,,,,,,
0,374,0.004328704,1 T 3,,,,,,
0,375,0.004340278,1 T 4,,,,,,
0,378,0.004375,1 C 2,,,,,,
0,379,0.004386574,1 T 3,,,,,,
0,382,0.004421296,1 T 3,,,,,,
0,384,0.004444444,1 T 2,,,,,,
0,385,0.004456019,1 T 3,,,,,,
0,389,0.004502315,1 C 3,,,,,,
0,390,0.004513889,1 T 2,,,,,,
0,391,0.004525463,1 T 3,,,,,,
0,394,0.004560185,1 T 2,,,,,,
0,403,0.004664352,1 T 3,,,,,,
0,404,0.004675926,1 T 3,,,,,,
0,406,0.004699074,1 T 2,,,,,,
0,409,0.004733796,1 C 3,,,,,,
0,410,0.00474537,1 T 3,,,,,,
0,413,0.004780093,1 T 2,,,,,,
0,413,0.004780093,1 T 4,,,,,,
0,416,0.004814815,1 T 2,,,,,,
0,418,0.004837963,1 T 2,,,,,,
0,422,0.004884259,1 T 2,,,,,,
0,424,0.004907407,1 T 2,,,,,,
0,436,0.005046296,1 C 4,,,,,,
0,437,0.00505787,2 T 3,,,,,,
0,438,0.005069444,1 T 2,,,,,,
0,440,0.005092593,1 T 2,,,,,,
0,442,0.005115741,1 T 3,,,,,,
0,443,0.005127315,1 C 2,,,,,,
0,444,0.005138889,1 T 4,,,,,,
0,447,0.005173611,1 T 3,,,,,,
0,449,0.005196759,1 C 2,,,,,,
0,455,0.005266204,1 T 3,,,,,,
0,457,0.005289352,1 T 3,,,,,,
0,459,0.0053125,1 T 4,,,,,,
0,460,0.005324074,1 T 3,,,,,,
0,461,0.005335648,1 T 2,,,,,,
0,463,0.005358796,1 T 2,,,,,,
0,465,0.005381944,1 T 2,,,,,,
0,467,0.005405093,1 T 4,,,,,,
0,469,0.005428241,1 T 2,,,,,,
0,472,0.005462963,1 T 4,,,,,,
0,474,0.005486111,1 T 2,,,,,,
0,479,0.005543981,1 C 2,,,,,,
0,481,0.00556713,1 T 4,,,,,,
0,484,0.005601852,1 T 4,,,,,,
0,486,0.005625,1 T 3,,,,,,
0,490,0.005671296,1 T 2,,,,,,
0,493,0.005706019,1 T 2,,,,,,
0,494,0.005717593,1 T 2,,,,,,
0,497,0.005752315,1 T 3,,,,,,
0,499,0.005775463,1 T 2,,,,,,
0,501,0.005798611,1 T 2,,,,,,
0,504,0.005833333,1 T 4,,,,,,
0,505,0.005844907,1 T 3,,,,,,
0,507,0.005868056,1 C 3,,,,,,
0,510,0.005902778,1 T 2,,,,,,
0,512,0.005925926,1 T 3,,,,,,
0,515,0.005960648,1 T 2,,,,,,
0,517,0.005983796,1 T 4,,,,,,
0,518,0.00599537,1 T 3,,,,,,
0,521,0.006030093,1 C 2,,,,,,
0,521,0.006030093,1 T 2,,,,,,
0,526,0.006087963,1 C 3,,,,,,
0,528,0.006111111,1 T 4,,,,,,
0,529,0.006122685,1 T 3,,,,,,
0,530,0.006134259,1 T 4,,,,,,
0,531,0.006145833,1 T 2,,,,,,
0,532,0.006157407,1 T 4,,,,,,
0,535,0.00619213,1 T 4,,,,,,
0,538,0.006226852,1 T 4,,,,,,
0,541,0.006261574,1 T 2,,,,,,
0,543,0.006284722,1 T 4,,,,,,
0,545,0.00630787,1 T 2,,,,,,
0,546,0.006319444,1 T 4,,,,,,
0,549,0.006354167,1 C 4,,,,,,
0,550,0.006365741,1 T 3,,,,,,
0,555,0.006423611,1 T 2,,,,,,
0,557,0.006446759,1 T 4,,,,,,
0,560,0.006481481,1 C 3,,,,,,
0,562,0.00650463,1 T 3,,,,,,
0,565,0.006539352,1 T 4,,,,,,
0,566,0.006550926,1 T 3,,,,,,
0,567,0.0065625,1 T 3,,,,,,
0,570,0.006597222,1 T 2,,,,,,
0,571,0.006608796,1 C 3,,,,,,
0,572,0.00662037,1 T 4,,,,,,
0,574,0.006643519,1 C 4,,,,,,
0,575,0.006655093,1 T 3,,,,,,
0,578,0.006689815,1 T 2,,,,,,
0,583,0.006747685,1 C 2,,,,,,
0,587,0.006793981,1 T 3,,,,,,
0,589,0.00681713,1 T 2,,,,,,
0,592,0.006851852,1 T 3,,,,,,
0,593,0.006863426,1 T 4,,,,,,
0,596,0.006898148,1 T 3,,,,,,
0,597,0.006909722,1 T 3,,,,,,
0,598,0.006921296,1 T 3,,,,,,
0,601,0.006956019,1 T 2,,,,,,
0,603,0.006979167,1 T 2,,,,,,
0,604,0.006990741,1 C 3,,,,,,
0,607,0.007025463,1 T 2,,,,,,
0,610,0.007060185,1 T 3,,,,,,
0,611,0.007071759,1 T 4,,,,,,
0,612,0.007083333,1 T 2,,,,,,
0,614,0.007106481,1 T 4,,,,,,
0,617,0.007141204,1 T 3,,,,,,
0,618,0.007152778,1 T 3,,,,,,
0,618,0.007152778,1 T 2,,,,,,
0,620,0.007175926,1 T 3,,,,,,
0,622,0.007199074,1 T 3,,,,,,
0,623,0.007210648,1 T 4,,,,,,
0,628,0.007268519,1 T 4,,,,,,
0,628,0.007268519,1 T 3,,,,,,
0,629,0.007280093,1 T 2,,,,,,
0,634,0.007337963,1 T 2,,,,,,
0,635,0.007349537,1 T 3,,,,,,
0,636,0.007361111,1 T 2,,,,,,
0,642,0.007430556,1 T 2,,,,,,
0,644,0.007453704,1 T 2,,,,,,
0,648,0.0075,1 C 4,,,,,,
0,649,0.007511574,1 T 2,,,,,,
0,651,0.007534722,1 T 2,,,,,,
0,653,0.00755787,1 T 4,,,,,,
0,655,0.007581019,1 T 2,,,,,,
0,656,0.007592593,1 T 2,,,,,,
0,659,0.007627315,1 T 4,,,,,,
0,661,0.007650463,1 T 3,,,,,,
0,664,0.007685185,2 T 4,,,,,,
0,665,0.007696759,1 T 2,,,,,,
0,667,0.007719907,1 T 4,,,,,,
0,674,0.007800926,1 T 4,,,,,,
0,677,0.007835648,1 T 2,,,,,,
0,684,0.007916667,1 T 4,,,,,,
0,686,0.007939815,1 T 2,,,,,,
0,690,0.007986111,1 T 4,,,,,,
0,692,0.008009259,1 T 2,,,,,,
0,692,0.008009259,1 T 4,,,,,,
0,695,8.04E-03,1 T 4,,,,,,
0,696,8.06E-03,end experiment,,,,,,
1,699,8.09E-03,1 T 4,,,,,,
1,702,0.008125,1 T 2,,,,,,
1,706,0.008171296,1 T 2,,,,,,
1,707,0.00818287,1 T 4,,,,,,
1,709,0.008206019,1 T 4,,,,,,
1,712,0.008240741,1 C 2,,,,,,
1,716,0.008287037,1 T 3,,,,,,
1,720,0.008333333,1 C 2,,,,,,
1,723,0.008368056,1 T 4,,,,,,
1,730,0.008449074,1 T 2,,,,,,
1,734,0.00849537,1 T 2,,,,,,
1,739,0.008553241,1 T 2,,,,,,
1,749,0.008668981,1 T 2,,,,,,
1,751,0.00869213,1 C 3,,,,,,
1,753,0.008715278,1 T 2,,,,,,
1,760,0.008796296,1 T 2,,,,,,
1,761,0.00880787,1 T 4,,,,,,
1,762,0.008819444,4 T 2,,,,,,
1,764,0.008842593,4 T 3,,,,,,
1,766,0.008865741,1 T 4,,,,,,
1,770,0.008912037,1 C 4,,,,,,
1,774,0.008958333,1 T 3,,,,,,
1,776,0.008981481,1 T 3,,,,,,
1,780,0.009027778,1 T 3,,,,,,
1,782,0.009050926,1 T 2,,,,,,
1,785,0.009085648,1 T 2,,,,,,
1,790,0.009143519,1 T 3,,,,,,
1,792,0.009166667,1 C 3,,,,,,
1,795,0.009201389,1 C 2,,,,,,
1,799,0.009247685,1 T 2,,,,,,
1,802,0.009282407,1 T 2,,,,,,
1,804,0.009305556,1 T 4,,,,,,
1,807,0.009340278,1 C 2,,,,,,
1,812,0.009398148,1 T 3,,,,,,
1,816,0.009444444,1 T 4,,,,,,
