Final Data Overview,,,,,,,,,
Video #,Time (seconds),Converted Time, Observation,Comments,,,,,
000,60,0:01:00,2 T 1,backwards threat,,Coding Info,,,
000,64,0:01:04,2 T 4,,,,,,
000,83,0:01:23,2 T 3,,,Group,19,"Video Range (First, Last)",
000,85,0:01:25,2 T 1,,,Day,1,0,63
000,88,0:01:28,2 T 3,,,Contest #,,Contest Date,
000,91,0:01:31,2 T 1,,,,,,
000,100,0:01:40,2 T 3,,,Fish Info,,,
000,102,0:01:42,2 T 4,,,,,,
000,104,0:01:44,4 T 3,,,Fish Number,Original Tank,Weight (g),Description (tail cut)
000,112,0:01:52,2 T 4,,,1,6_10,20.93,bottom cut
000,116,0:01:56,2 T 4,,,2,5_1,20.59,top cut
000,120,0:02:00,2 T 3,,,3,2_12,20.83,bottom V cut
000,134,0:02:14,2 T 3,,,4,6_8,20.47,top V cut
000,137,0:02:17,4 T 2,,,,,,
000,145,0:02:25,1 T 3,,,,,,
000,160,0:02:40,2 C 4,backwards chase,,,,,
000,164,0:02:44,2 T 4,,,,,,
000,166,0:02:46,2 T 3,,,,,,
000,168,0:02:48,2 T 3,,,,,,
000,170,0:02:50,2 C 1,backwards chase,,,,,
000,174,0:02:54,2 T 4,,,,,,
000,175,0:02:55,2 T 4,,,,,,
000,178,0:02:58,2 T 3,,,,,,
000,179,0:02:59,2 T 1,,,,,,
000,179,0:02:59,4 T 3,,,,,,
000,182,0:03:02,2 T 1,,,,,,
000,184,0:03:04,2 T 3,,,,,,
000,185,0:03:05,4 C 1,backwards chase,,,,,
000,192,0:03:12,4 T 3,90 degree turn,,,,,
000,193,0:03:13,2 T 3,,,,,,
000,204,0:03:24,2 T 4,,,,,,
000,204,0:03:24,2 T 4,,,,,,
000,207,0:03:27,2 T 1,,,,,,
000,213,0:03:33,2 T 4,,,,,,
000,216,0:03:36,2 T 4,,,,,,
000,222,0:03:42,2 T 4,,,,,,
000,226,0:03:46,2 T 4,,,,,,
000,231,0:03:51,2 T 3,,,,,,
000,233,0:03:53,2 T 4,,,,,,
000,240,0:04:00,2 T 4,,,,,,
000,242,0:04:02,2 T 1,,,,,,
000,256,0:04:16,1 T 3,,,,,,
000,276,0:04:36,2 T 1,,,,,,
000,280,0:04:40,2 T 1,,,,,,
000,289,0:04:49,2 T 1,,,,,,
000,293,0:04:53,2 T 4,,,,,,
000,295,0:04:55,2 T 1,,,,,,
000,296,0:04:56,1 T 4,,,,,,
000,298,0:04:58,1 T 3,,,,,,
000,301,0:05:01,1 T 4,,,,,,
000,302,0:05:02,panic,,,,,,
000,374,0:06:14,2 C 1,,,,,,
000,377,0:06:17,2 T 1,,,,,,
000,379,0:06:19,2 C 1,,,,,,
000,380,0:06:20,2 T 1,,,,,,
000,381,0:06:21,2 T 1,,,,,,
000,385,0:06:25,2 C 1,,,,,,
000,387,0:06:27,panic,,,,,,
000,562,0:09:22,panic,,,,,,
000,699,0:11:39,end experiment,,,,,,
001,872,0:14:32,panic,fish remained in panic throughout video,,,,,
001,1388,0:23:08,end experiment,,,,,,
002,1571,0:26:11,2 T 1,,,,,,
002,1609,0:26:49,2 T 3,,,,,,
002,1610,0:26:50,2 T 3,,,,,,
002,1612,0:26:52,2 T 3,,,,,,
002,1613,0:26:53,2 T 3,,,,,,
002,1614,0:26:54,2 T 3,,,,,,
